# nombre_artista;nombre_album;nombre_cancion;popularidad;duracion_ms;track_id
ruth b.;Safe Haven;Dandelions;90;233720;2eAvDnpXP5W0cVtiI0PUxV
ruth b.;Dandelions (slowed + reverb);Dandelions - slowed + reverb;81;268717;6fhG2KJgwO7CrNflRaRmvp
j. cole;2014 Forest Hills Drive;No Role Modelz;88;292799;68Dni7IE4VyPkTOH9mRWHr
j. cole;Born Sinner (Deluxe Version);She Knows (feat. Amber Coffman & Cults);82;296520;0Fs9cdPDhptWEDJmiCbkEW
piso 21;Los Cachos;Los Cachos;85;212304;5fhcuVxuBWfgNXGuyAtLmr
james arthur;Back from the Edge;Say You Won't Let Go;85;211466;5uCax9HTNlzGybIStD3vDh
mora;MICRODOSIS;LA INOCENTE;89;202173;5jt25aFjW2kNoBqaEVaz5W
mora;MICRODOSIS;MEMORIAS;85;228750;2hLXUbsOU9cDb9RFva9FYr
mora;Volando (Remix);Volando - Remix;83;273474;0G2zPzWqVjR68iNPmx2TBe
mora;MICRODOSIS;TUS LÁGRIMAS;80;174482;30W8VKHrAZmHzObnwAoc1u
the kid laroi;STAY (with Justin Bieber);STAY (with Justin Bieber);89;141805;5HCyWlXZPP0y6Gqq8TgA20
the kid laroi;F*CK LOVE 3: OVER YOU;STAY (with Justin Bieber);86;141805;5PjdY0CKGZdEuoNab3yDmX
the kid laroi;Thousand Miles;Thousand Miles;81;164781;1r8ZCjfrQxoy2wVaBUbpwg
the kid laroi;F*CK LOVE (SAVAGE);WITHOUT YOU;80;161384;27OeeYzk6klgBh83TSvGMA
yot club;Bipolar;YKWIM?;84;212750;2vWBUC9djv6BtiGlmKiQaH
foster the people;Torches;Pumped Up Kicks;84;239600;7w87IxuO7BDcJ3YUqCyMTT
ive;After LIKE;After LIKE;88;176973;2gYj9lubBorOPIVWsTXugG
ive;LOVE DIVE;LOVE DIVE;85;177186;0Q5VnK2DYzRyfqQRJuUtvi
ive;ELEVEN;ELEVEN;79;178453;7n2FZQsaLb7ZRfRPfEeIvr
tate mcrae;you broke me first;you broke me first;84;169265;45bE4HXI0AwGZXfZtMp8JR
giveon;TAKE TIME;Heartbreak Anniversary;84;198370;3FAJ6O0NOHQV8Mc5Ri6ENp
morgan wallen;You Proof;You Proof;86;157477;5uU1uuyaUIBOiiUSQG7Wl3
morgan wallen;Dangerous: The Double Album;Wasted On You;83;178520;3cBsEDNhFI9E82vPj3kvi3
morgan wallen;If I Know Me;Whiskey Glasses;81;234346;6foY66mWZN0pSRjZ408c00
kendrick lamar;DAMN.;HUMBLE.;84;177000;7KXjTSCq5nL1LoYtL7XAwS
kendrick lamar;Black Panther The Album Music From And Inspired By;All The Stars (with SZA);83;232186;3GCdLUSnKSMJhs4Tj6CV3s
kendrick lamar;Mr. Morale & The Big Steppers;N95;83;195950;0fX4oNGBWO3dSGUZcVdVV2
kendrick lamar;Mr. Morale & The Big Steppers;Die Hard;82;239026;2g6tReTlM2Akp41g0HaeXN
50 cent;Get Rich Or Die Tryin';In Da Club;83;193466;7iL6o9tox1zgHpKUfh9vuC
vacations;Vibes;Young;83;189160;1KIJclzEbNhSVw8tiHPWwE
aventura;Volví;Volví;83;230125;2vmfvSoZBFAt9hhRoEByLi
one direction;FOUR (Deluxe);Night Changes;88;226600;5O2P9iiztwhomNh8xkR9lJ
one direction;Up All Night;What Makes You Beautiful;84;199986;4cluDES4hQEUhmXj6TXkSo
one direction;Midnight Memories (Deluxe);Story of My Life;83;245493;4nVBt6MZDDP6tRVdQTgxJg
one direction;FOUR (Deluxe);Steal My Girl;80;228133;2Bs4jQEGMycglOfWPBqrVG
one direction;Made In The A.M. (Deluxe Edition);Drag Me Down;80;192120;2K87XMYnUMqLcX3zvtAF4G
24kgoldn;El Dorado;Mood (feat. iann dior);83;140533;4jPy3l0RUwlUI9T5XHBW2m
capital cities;In A Tidal Wave Of Mystery (Deluxe Edition);Safe And Sound;83;192789;6Z8R6UsFuGXGtiIxiD8ISb
toto;Toto IV;Africa;83;295893;2374M0fQpWi3dLnB54qaLX
chris brown;Indigo (Extended);Under The Influence;96;184613;5IgjP7X4th6nMNDh4akUHb
chris brown;Indigo;No Guidance (feat. Drake);80;260640;6XHVuErjQ4XNm6nDPVCxVX
chris brown;Slime & B;Go Crazy;78;176960;1IIKrJVP1C9N7iPtG6eOsK
chris brown;Under The Influence;Under The Influence (Body Language);77;148750;71mHO4fFmS2Xu5XxZbcRND
lil nas x;STAR WALKIN' (League of Legends Worlds Anthem);STAR WALKIN' (League of Legends Worlds Anthem);90;210575;38T0tPVZHcPZyhtOcCP7pF
lil nas x;MONTERO;THATS WHAT I WANT;87;143901;0e8nrvls4Qqv5Rfa2UhqmO
lil nas x;INDUSTRY BABY (feat. Jack Harlow);INDUSTRY BABY (feat. Jack Harlow);86;212000;27NovPIUIRrOZoCHxABJwK
lil nas x;MONTERO;MONTERO (Call Me By Your Name);83;137704;1SC5rEoYDGUK4NfG82494W
lil nas x;MONTERO;INDUSTRY BABY (feat. Jack Harlow);81;212352;5Z9KJZvQzH6PFmb8SNkxuk
lil nas x;MONTERO (Call Me By Your Name);MONTERO (Call Me By Your Name);79;137875;67BtfxlNbhBmCDR2L2l8qd
lil nas x;7 EP;Old Town Road - Remix;79;157066;2YpeDb67231RjR0MgVLzsG
lil nas x;7 EP;Old Town Road;77;113000;0F7FA14euOIX8KcbEturGH
eminem;The Eminem Show;Without Me;88;290320;7lQ8MOhq6IN2w8EYcFNSUk
eminem;The Marshall Mathers LP;The Real Slim Shady;87;284200;3yfqSUWxFvZELEM4PmlwIR
eminem;The Eminem Show;Till I Collapse;86;297786;4xkOaSrkexMciUUogZKVTS
eminem;The Eminem Show;Superman;86;350320;4woTEX1wYOTGDqNXuavlRC
eminem;The Marshall Mathers LP;Stan;85;404106;3UmaczJpikHgJFyBTAJVoz
eminem;Music To Be Murdered By;Godzilla (feat. Juice WRLD);83;210800;7FIWs0pqAYbP91WWM0vlTQ
eminem;Recovery;Love The Way You Lie;83;263373;15JINEqzVMv3SvJTAXAKED
eminem;Recovery;Not Afraid;81;248133;7Ie9W94M7OjPoZVV216Xus
eminem;Just Lose It;Lose Yourself - From "8 Mile" Soundtrack;79;322226;1v7L65Lzy0j0vdpRjJewt1
eminem;The Marshall Mathers LP2 (Deluxe);Rap God;78;363521;6or1bKJiZ06IlK0vFvY75k
eminem;Venom (Music From The Motion Picture);Venom - Music From The Motion Picture;74;269573;3kpYJjvM8Ja6btr5hEJLWc
måneskin;Chosen;Beggin';86;211560;3Wrjm47oTz2sjIgck11l5e
måneskin;THE LONELIEST;THE LONELIEST;85;247067;1Ame8XTX6QHY0l0ahqUhgv
måneskin;Teatro d'ira - Vol. I;I WANNA BE YOUR SLAVE;83;173346;4pt5fDVTg5GhEvEtlz9dKk
måneskin;SUPERMODEL;SUPERMODEL;83;148064;63WuQOXohQIxOxIFA2K7bR
måneskin;Teatro d'ira - Vol. I;ZITTI E BUONI;76;194786;776AftMmFFAWUIEAb3lHhw
öwnboss;Move Your Body;Move Your Body;82;157444;6GomT970rCOkKAyyrwJeZi
gym class heroes;The Papercut Chronicles II;Stereo Hearts (feat. Adam Levine);82;210960;0qOnSQQF0yzuPWsXrQ9paz
riton;Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit];Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;82;169153;4cG7HUWYHBV6R6tHn1gxrl
french montana;Jungle Rules;Unforgettable;82;233901;3B54sVLJ402zGa6Xm4YGNe
a$ap rocky;TESTING;Praise The Lord (Da Shine) (feat. Skepta);82;205040;7ycWLEP1GsNjVvcjawXz3z
new west;Those Eyes;Those Eyes;82;220750;2GThBgzZoZfz0lx1JjBwfe
duki;She Don't Give a Fo;She Don't Give a Fo;82;209531;03a359wbiUsjN9h6yzXvmS
børns;Dopamine;Electric Love;82;218106;2GiJYvgVaD2HtM8GqD9EgQ
mkto;MKTO;Classic;82;175426;6FE2iI43OZnszFLuLtvvmg
train;Save Me, San Francisco (Golden Gate Edition);Hey, Soul Sister;82;216773;4HlFJV71xXKIGcU3kRyttv
drake;Honestly, Nevermind;Jimmy Cooks (feat. 21 Savage);91;218364;3F5CgOj3wFlRv51JsHbxhe
drake;Views;One Dance;85;173986;1zi7xx7UVEFkmKfv06H8x0
