# nombre_artista;nombre_album;nombre_cancion;popularidad;duracion_ms;track_id
ruth b.;Safe Haven;Dandelions;90;233720;2eAvDnpXP5W0cVtiI0PUxV
ruth b.;Dandelions (slowed + reverb);Dandelions - slowed + reverb;81;268717;6fhG2KJgwO7CrNflRaRmvp
j. cole;2014 Forest Hills Drive;No Role Modelz;88;292799;68Dni7IE4VyPkTOH9mRWHr
j. cole;Born Sinner (Deluxe Version);She Knows (feat. Amber Coffman & Cults);82;296520;0Fs9cdPDhptWEDJmiCbkEW
piso 21;Los Cachos;Los Cachos;85;212304;5fhcuVxuBWfgNXGuyAtLmr
james arthur;Back from the Edge;Say You Won't Let Go;85;211466;5uCax9HTNlzGybIStD3vDh
mora;MICRODOSIS;LA INOCENTE;89;202173;5jt25aFjW2kNoBqaEVaz5W
mora;MICRODOSIS;MEMORIAS;85;228750;2hLXUbsOU9cDb9RFva9FYr
mora;Volando (Remix);Volando - Remix;83;273474;0G2zPzWqVjR68iNPmx2TBe
mora;MICRODOSIS;TUS LÁGRIMAS;80;174482;30W8VKHrAZmHzObnwAoc1u
the kid laroi;STAY (with Justin Bieber);STAY (with Justin Bieber);89;141805;5HCyWlXZPP0y6Gqq8TgA20
the kid laroi;F*CK LOVE 3: OVER YOU;STAY (with Justin Bieber);86;141805;5PjdY0CKGZdEuoNab3yDmX
the kid laroi;Thousand Miles;Thousand Miles;81;164781;1r8ZCjfrQxoy2wVaBUbpwg
the kid laroi;F*CK LOVE (SAVAGE);WITHOUT YOU;80;161384;27OeeYzk6klgBh83TSvGMA
yot club;Bipolar;YKWIM?;84;212750;2vWBUC9djv6BtiGlmKiQaH
foster the people;Torches;Pumped Up Kicks;84;239600;7w87IxuO7BDcJ3YUqCyMTT
ive;After LIKE;After LIKE;88;176973;2gYj9lubBorOPIVWsTXugG
ive;LOVE DIVE;LOVE DIVE;85;177186;0Q5VnK2DYzRyfqQRJuUtvi
ive;ELEVEN;ELEVEN;79;178453;7n2FZQsaLb7ZRfRPfEeIvr
tate mcrae;you broke me first;you broke me first;84;169265;45bE4HXI0AwGZXfZtMp8JR
giveon;TAKE TIME;Heartbreak Anniversary;84;198370;3FAJ6O0NOHQV8Mc5Ri6ENp
morgan wallen;You Proof;You Proof;86;157477;5uU1uuyaUIBOiiUSQG7Wl3
morgan wallen;Dangerous: The Double Album;Wasted On You;83;178520;3cBsEDNhFI9E82vPj3kvi3
morgan wallen;If I Know Me;Whiskey Glasses;81;234346;6foY66mWZN0pSRjZ408c00
kendrick lamar;DAMN.;HUMBLE.;84;177000;7KXjTSCq5nL1LoYtL7XAwS
kendrick lamar;Black Panther The Album Music From And Inspired By;All The Stars (with SZA);83;232186;3GCdLUSnKSMJhs4Tj6CV3s
kendrick lamar;Mr. Morale & The Big Steppers;N95;83;195950;0fX4oNGBWO3dSGUZcVdVV2
kendrick lamar;Mr. Morale & The Big Steppers;Die Hard;82;239026;2g6tReTlM2Akp41g0HaeXN
50 cent;Get Rich Or Die Tryin';In Da Club;83;193466;7iL6o9tox1zgHpKUfh9vuC
vacations;Vibes;Young;83;189160;1KIJclzEbNhSVw8tiHPWwE
aventura;Volví;Volví;83;230125;2vmfvSoZBFAt9hhRoEByLi
one direction;FOUR (Deluxe);Night Changes;88;226600;5O2P9iiztwhomNh8xkR9lJ
one direction;Up All Night;What Makes You Beautiful;84;199986;4cluDES4hQEUhmXj6TXkSo
one direction;Midnight Memories (Deluxe);Story of My Life;83;245493;4nVBt6MZDDP6tRVdQTgxJg
one direction;FOUR (Deluxe);Steal My Girl;80;228133;2Bs4jQEGMycglOfWPBqrVG
one direction;Made In The A.M. (Deluxe Edition);Drag Me Down;80;192120;2K87XMYnUMqLcX3zvtAF4G
24kgoldn;El Dorado;Mood (feat. iann dior);83;140533;4jPy3l0RUwlUI9T5XHBW2m
capital cities;In A Tidal Wave Of Mystery (Deluxe Edition);Safe And Sound;83;192789;6Z8R6UsFuGXGtiIxiD8ISb
toto;Toto IV;Africa;83;295893;2374M0fQpWi3dLnB54qaLX
chris brown;Indigo (Extended);Under The Influence;96;184613;5IgjP7X4th6nMNDh4akUHb
chris brown;Indigo;No Guidance (feat. Drake);80;260640;6XHVuErjQ4XNm6nDPVCxVX
chris brown;Slime & B;Go Crazy;78;176960;1IIKrJVP1C9N7iPtG6eOsK
chris brown;Under The Influence;Under The Influence (Body Language);77;148750;71mHO4fFmS2Xu5XxZbcRND
lil nas x;STAR WALKIN' (League of Legends Worlds Anthem);STAR WALKIN' (League of Legends Worlds Anthem);90;210575;38T0tPVZHcPZyhtOcCP7pF
lil nas x;MONTERO;THATS WHAT I WANT;87;143901;0e8nrvls4Qqv5Rfa2UhqmO
lil nas x;INDUSTRY BABY (feat. Jack Harlow);INDUSTRY BABY (feat. Jack Harlow);86;212000;27NovPIUIRrOZoCHxABJwK
lil nas x;MONTERO;MONTERO (Call Me By Your Name);83;137704;1SC5rEoYDGUK4NfG82494W
lil nas x;MONTERO;INDUSTRY BABY (feat. Jack Harlow);81;212352;5Z9KJZvQzH6PFmb8SNkxuk
lil nas x;MONTERO (Call Me By Your Name);MONTERO (Call Me By Your Name);79;137875;67BtfxlNbhBmCDR2L2l8qd
lil nas x;7 EP;Old Town Road - Remix;79;157066;2YpeDb67231RjR0MgVLzsG
lil nas x;7 EP;Old Town Road;77;113000;0F7FA14euOIX8KcbEturGH
eminem;The Eminem Show;Without Me;88;290320;7lQ8MOhq6IN2w8EYcFNSUk
eminem;The Marshall Mathers LP;The Real Slim Shady;87;284200;3yfqSUWxFvZELEM4PmlwIR
eminem;The Eminem Show;Till I Collapse;86;297786;4xkOaSrkexMciUUogZKVTS
eminem;The Eminem Show;Superman;86;350320;4woTEX1wYOTGDqNXuavlRC
eminem;The Marshall Mathers LP;Stan;85;404106;3UmaczJpikHgJFyBTAJVoz
eminem;Music To Be Murdered By;Godzilla (feat. Juice WRLD);83;210800;7FIWs0pqAYbP91WWM0vlTQ
eminem;Recovery;Love The Way You Lie;83;263373;15JINEqzVMv3SvJTAXAKED
eminem;Recovery;Not Afraid;81;248133;7Ie9W94M7OjPoZVV216Xus
eminem;Just Lose It;Lose Yourself - From "8 Mile" Soundtrack;79;322226;1v7L65Lzy0j0vdpRjJewt1
eminem;The Marshall Mathers LP2 (Deluxe);Rap God;78;363521;6or1bKJiZ06IlK0vFvY75k
eminem;Venom (Music From The Motion Picture);Venom - Music From The Motion Picture;74;269573;3kpYJjvM8Ja6btr5hEJLWc
måneskin;Chosen;Beggin';86;211560;3Wrjm47oTz2sjIgck11l5e
måneskin;THE LONELIEST;THE LONELIEST;85;247067;1Ame8XTX6QHY0l0ahqUhgv
måneskin;Teatro d'ira - Vol. I;I WANNA BE YOUR SLAVE;83;173346;4pt5fDVTg5GhEvEtlz9dKk
måneskin;SUPERMODEL;SUPERMODEL;83;148064;63WuQOXohQIxOxIFA2K7bR
måneskin;Teatro d'ira - Vol. I;ZITTI E BUONI;76;194786;776AftMmFFAWUIEAb3lHhw
öwnboss;Move Your Body;Move Your Body;82;157444;6GomT970rCOkKAyyrwJeZi
gym class heroes;The Papercut Chronicles II;Stereo Hearts (feat. Adam Levine);82;210960;0qOnSQQF0yzuPWsXrQ9paz
riton;Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit];Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;82;169153;4cG7HUWYHBV6R6tHn1gxrl
french montana;Jungle Rules;Unforgettable;82;233901;3B54sVLJ402zGa6Xm4YGNe
a$ap rocky;TESTING;Praise The Lord (Da Shine) (feat. Skepta);82;205040;7ycWLEP1GsNjVvcjawXz3z
new west;Those Eyes;Those Eyes;82;220750;2GThBgzZoZfz0lx1JjBwfe
duki;She Don't Give a Fo;She Don't Give a Fo;82;209531;03a359wbiUsjN9h6yzXvmS
børns;Dopamine;Electric Love;82;218106;2GiJYvgVaD2HtM8GqD9EgQ
mkto;MKTO;Classic;82;175426;6FE2iI43OZnszFLuLtvvmg
train;Save Me, San Francisco (Golden Gate Edition);Hey, Soul Sister;82;216773;4HlFJV71xXKIGcU3kRyttv
drake;Honestly, Nevermind;Jimmy Cooks (feat. 21 Savage);91;218364;3F5CgOj3wFlRv51JsHbxhe
drake;Views;One Dance;85;173986;1zi7xx7UVEFkmKfv06H8x0
drake;Scorpion;God's Plan;84;198973;6DCZcSspjsKoFjzjrWoCdn
drake;Certified Lover Boy;Fair Trade (with Travis Scott);83;291175;40iJIUlhi6renaREYGeIDS
drake;Views;One Dance;66;173973;5ZKG94fnjiuMH5yrC5S9lS
tv girl;French Exit;Lovers Rock;83;213920;6dBUzqjtbnIa1TwYbyw5CM
tv girl;Who Really Cares;Not Allowed;82;167864;3IznIgmXtrUaoPWpQTy5jB
tv girl;Who Really Cares;Cigarettes out the Window;80;198960;6QeYSvYqYUsfBzsApbjDHO
mac demarco;Salad Days;Chamber Of Reflection;82;231723;7H7NyZ3G075GqPx2evsfeb
mac demarco;2;My Kind of Woman;81;190845;6jgkEbmQ2F2onEqsEhiliL
chris stapleton;Traveller;Tennessee Whiskey;81;293293;3fqwjXwUGN6vbzIwvyFMhx
jonas brothers;Happiness Begins;Sucker;81;181026;22vgEDb5hykfaTwLuskFGD
backstreet boys;Millennium;I Want It That Way;81;213306;47BBI51FKFwOMlIiX6m8ya
metro boomin;NOT ALL HEROES WEAR CAPES (Deluxe);Space Cadet (feat. Gunna);81;203266;1fewSx2d5KIZ04wsooEBOz
cults;Static;Always Forever;81;223746;2enPRFda84VE2wtI8c86Uf
liana flores;recently;rises the moon;81;161929;51Grh1RyUDcMBbpuyUIUHI
rauw alejandro;LOKERA;LOKERA;91;195294;79HZAZNnOE97rb2hnI0XQr
rauw alejandro;PUNTO 40;PUNTO 40;85;190654;2TDyyEBasw10wu5Uh94bR1
rauw alejandro;VICE VERSA;Desesperados;83;224996;6mmPpaltUZK7xjNlBPQQ0p
rauw alejandro;Desesperados;Desesperados;83;224996;6ZOcbKub95XSDESsKKuH41
rauw alejandro;Todo De Ti;Todo De Ti;82;199604;4fSIb4hdOQ151TILNsSEaF
rauw alejandro;VICE VERSA;Cúrame;79;164705;1FlL8ycld6uVDDyhV7P5FA
rauw alejandro;VICE VERSA;Todo De Ti;78;199604;3rdAz1fbUfZxYgaCviYhRo
rauw alejandro;Fantasias (Remix) [feat. Farruko & Lunay];Fantasias - Remix;67;267241;0A37XY67wSdGqkGjtfW6aV
dire straits;Dire Straits;Sultans Of Swing;81;348400;37Tmv4NnfQeb0ZgUC4fOJj
nicki minaj;Super Freaky Girl;Super Freaky Girl;92;170977;4C6Uex2ILwJi9sZXRdmqXp
nicki minaj;Queen Radio: Volume 1;Super Freaky Girl;83;170977;2yjlYDiNiQkdxVqTlaSrlX
nicki minaj;Pink Friday: Roman Reloaded The Re-Up (Explicit Version);High School;67;218746;3UrNOHCzVxX2KZbNcKQAyu
bad bunny;Un Verano Sin Ti;Me Porto Bonito;97;178567;6Sq7ltF9Qa7SNFBsV5Cogx
bad bunny;Un Verano Sin Ti;Tití Me Preguntó;97;243716;1IHWl5LamUGEuP4ozKQSXZ
bad bunny;Un Verano Sin Ti;Efecto;96;213061;5Eax0qFko2dh7Rl2lYs3bx
bad bunny;Un Verano Sin Ti;Ojitos Lindos;95;258298;3k3NWokhRRkEPhCzPmV8TW
bad bunny;Un Verano Sin Ti;Moscow Mule;94;245939;6Xom58OOXk2SoU711L2IXO
bad bunny;Un Verano Sin Ti;Neverita;93;173119;31i56LZnwE6uSu3exoHjtB
bad bunny;Un Verano Sin Ti;Tarot;91;237894;41oY4WCTj5kccfesTVFnvN
bad bunny;Un Verano Sin Ti;Party;90;227628;4tYFy8ALRjIZvnvSLw5lxN
bad bunny;Un Verano Sin Ti;La Corriente;90;198367;1797zYiX4cKosMH836X9Gt
bad bunny;Yonaguni;Yonaguni;87;206710;2JPLbjOn0wPCngEot2STUS
bad bunny;Un Verano Sin Ti;Un Ratito;87;176936;5CzixCxDkRXX9mScCmah8O
bad bunny;Un Verano Sin Ti;Dos Mil 16;87;208615;4d4ZXH4dr5bYfgErHiZCX2
bad bunny;Un Verano Sin Ti;Un Coco;87;196412;6VrQTLzzuyGIYjUDe4kAZk
bad bunny;Un Verano Sin Ti;Andrea;86;339611;44XjoNvtwevktFKjvVe1vH
bad bunny;Un Verano Sin Ti;Otro Atardecer;85;244444;0E0DRHf5PfMeor0ZCwB3oT
bad bunny;Un Verano Sin Ti;Yo No Soy Celoso;85;230704;5kVZxyMY1gfdCLiChsfjn1
bad bunny;Un Verano Sin Ti;Me Fui de Vacaciones;85;180929;28GCbKgjlVD9eDmasGbe0T
bad bunny;YHLQMDLG;La Santa;84;206420;69vlMrzHwATKzupwNcUPyK
bad bunny;Un Verano Sin Ti;Enséñame a Bailar;84;176000;2NMjggapJcXXM7WccGEBUO
bad bunny;Un Verano Sin Ti;Aguacero;84;210989;2uflssWlCaJ6CbTMOsUpNI
bad bunny;DÁKITI;DÁKITI;83;205090;47EiUVwUp4C9fGccaPuUCS
bad bunny;Diles;Diles;83;286040;6C1RD7YQVvt3YQj0CmuTeu
bad bunny;X 100PRE;Si Estuviésemos Juntos;83;169247;35wvL50xvKpCHEJPxLOLPI
bad bunny;YHLQMDLG;A Tu Merced;83;175918;4r9jkMEnArtWGH2rL2FZl0
bad bunny;Un Verano Sin Ti;Agosto;83;139041;0wihfILRNOwE2156Shezc8
bad bunny;Un Verano Sin Ti;El Apagón;83;201816;0UvZcEfpzVyx47QsRbjyBz
bad bunny;EL ÚLTIMO TOUR DEL MUNDO;LA NOCHE DE ANOCHE;82;203200;2XIc1pqjXV3Cr2BQUGNBck
bad bunny;YHLQMDLG;Si Veo a Tu Mamá;82;170971;41wtwzCZkXwpnakmwJ239F
bad bunny;Un Verano Sin Ti;Callaita;81;250533;71wFwRo8xGc4lrcyKwsvba
bad bunny;EL ÚLTIMO TOUR DEL MUNDO;TE MUDASTE;81;130013;5RubKOuDoPn5Kj5TLVxSxY
bad bunny;EL ÚLTIMO TOUR DEL MUNDO;DÁKITI;80;205090;4MzXwWMhyBbmu6hOcLVD49
bad bunny;Callaita;Callaita;80;250533;2TH65lNHgvLxCKXM3apjxI
bad bunny;YHLQMDLG;Safaera;80;295176;2DEZmgHKAvm41k4J3R2E9Y
bad bunny;YHLQMDLG;La Difícil;80;163084;6NfrH0ANGmgBXyxgV2PeXt
bad bunny;MIA (feat. Drake);MIA (feat. Drake);79;210367;116H0KvKr2Zl4RPuVBruDO
bad bunny;YHLQMDLG;Yo Perreo Sola;79;172127;0SqqAgdovOE24BzxIClpjw
bad bunny;Vete;Vete;79;192024;5DxXgozhkPLgrbKFY91w0c
bad bunny;YHLQMDLG;La Zona;79;136892;5kqNIqFjijuzvVLhuY9B8j
bad bunny;X 100PRE;La Romana;77;300579;1khmgu0pveJbkbpbkyvcQv
bad bunny;X 100PRE;MIA;65;210367;3gE4eQH3K83Sght0ZLvuBK
bad bunny;New Pop Icons;MIA;0;210367;5hnGly9RuGiixupoVrLTNI
bad bunny;Today's Party Hits;MIA;0;210367;0tQyUsejipsHr5BEdx7wLX
mark ronson;Uptown Special;Uptown Funk (feat. Bruno Mars);83;269666;32OlwWuMpZ6b0aN2RZOeMS
mark ronson;Nothing Breaks Like a Heart (feat. Miley Cyrus);Nothing Breaks Like a Heart (feat. Miley Cyrus);78;217466;27rdGxbavYJeBphck5MZAF
ricky montgomery;Montgomery Ricky;Line Without a Hook;82;249586;5NvOZCjZaGGGL597exlQWv
ricky montgomery;Montgomery Ricky;Mr Loverman;79;216880;2IVsRhKrx8hlQBOWy4qebo
luke combs;The Kind of Love We Make;The Kind of Love We Make;82;224426;28n8z9IQKyjMPxmvYMBqZa
luke combs;This One's for You Too (Deluxe Edition);Beautiful Crazy;80;193200;2rxQMGVafnNaRaXlRMWPde
luke combs;What You See Ain't Always What You Get (Deluxe Edition);Forever After All;79;232533;6IBcOGPsniK3Pso1wHIhew
ariana grande;Positions;positions;85;172324;35mvY5S1H3J2QZyna3TFe0
ariana grande;thank u, next;7 rings;84;178626;6ocbgoVGwYJhOv1GgI9NsF
ariana grande;Stuck with U;Stuck with U (with Justin Bieber);83;228482;4HBZA5flZLE435QTztThqH
ariana grande;My Everything (Deluxe);One Last Time;83;197266;7xoUc6faLbCqZO6fQEYprd
ariana grande;thank u, next;thank u, next;82;207320;3e9HZxeyfWwjeyPAMmWSSQ
ariana grande;Positions;34+35;81;173710;6Im9k8u9iIzKMrmV7BWtlF
ariana grande;boyfriend;boyfriend (with Social House);80;186106;0Ryd8975WihbObpp5cPW1t
ariana grande;Sweetener;God is a woman;80;197546;5OCJzvD7sykQEKHH7qAC3C
ariana grande;Positions;motive (with Doja Cat);78;167989;5GkQIP5mWPi4KZLLXeuFTT
ariana grande;Sweetener;no tears left to cry;78;205920;2qT1uLXPVPzGgFOx4jtEuo
ariana grande;My Everything (Deluxe);Love Me Harder;78;236133;5J4ZkQpzMUFojo1CtAZYpn
ariana grande;thank u, next;break up with your girlfriend, i'm bored;78;190440;4kV4N9D1iKVxx1KLvtTpjS
ariana grande;Dangerous Woman;Side To Side;76;226160;44ONERBHALxftQNWq6dmyd
ariana grande;Dangerous Woman;Into You;76;244453;76FZM38RC8XaAjJ77CVTNe
declan mckenna;What Do You Think About the Car?;Brazil;80;252306;4sNG6zQBmtq7M8aeeKJRMQ
niall horan;Flicker (Deluxe);This Town;80;232852;0qvzXomUDJVaUboy2wMfiS
5 seconds of summer;Youngblood (Deluxe);Youngblood;81;203417;2iUXsYOEPhVqEBwsqP70rE
5 seconds of summer;13 Reasons Why (Season 3);Teeth;79;204887;26wLOs3ZuHJa2Ihhx6QIE6
van morrison;Blowin' Your Mind!;Brown Eyed Girl;80;183306;3yrSvpt2l1xhsV9Em88Pul
joy again;Looking Out for You;Looking Out for You;80;179499;3jfZ9M23l0L7RxzYMTgBTv
ali gatie;YOU;It's You;80;212606;5DqdesEfbRyOlSS3Tf6c29
suki waterhouse;Good Looking;Good Looking;80;214800;3L3G4XFQqtFe9a3azMacZ5
roar;I Can't Handle Change;I Can't Handle Change;80;198213;0I1eFRytp4XRhLCjT6tZm7
duncan laurence;Arcade;Arcade;80;183624;1Xi84slp6FryDSCbzq4UCD
snow patrol;Eyes Open;Chasing Cars;80;267960;5hnyJvgoWiQUYZttV4wXy6
sleep miracle;Brown Sleep Noise;Brown Sleep Noise;80;248000;5UBonaClAZVfzxJNn8nnhh
camila cabello;Bam Bam (feat. Ed Sheeran);Bam Bam (feat. Ed Sheeran);87;206070;0QBzMgT7NIeoCYy3sJCof1
camila cabello;Familia;Bam Bam (feat. Ed Sheeran);82;206070;2DB4DdfCFMw1iaR6JaR03a
camila cabello;Camila;Havana (feat. Young Thug);80;217306;1rfofaqEpACxVEHIZBJe6W
camila cabello;Romance;My Oh My (feat. DaBaby);76;170746;3yOlyBJuViE2YSGn3nVE1K
camila cabello;Camila;Never Be the Same;74;226973;4eWQlBRaTjPPUlzacqEeoQ
maroon 5;JORDI (Deluxe);Memories;85;189486;4cktbXiXOapiLBMprHFErI
maroon 5;Overexposed Track By Track;Payphone;84;231173;1XGmzt0PVuFgQYYnV2It7A
maroon 5;V (Asia Tour Edition);Animals;70;231013;3h4T9Bg8OVSUYa6danHeH5
shouse;Love Tonight (David Guetta Remix);Love Tonight - David Guetta Remix Edit;81;158095;2prnn41CblB8B4yWACDljP
shouse;Love Tonight;Love Tonight - Edit;78;241970;6OufwUcCqo81guU2jAlDVP
kodaline;In A Perfect World (Expanded Edition);All I Want;82;305746;0NlGoUyOJSuSHmngoibVAs
kodaline;Politics of Living;Brother;77;203186;65gLJGey4u4KFFqoC5fzFJ
denise julia;NVMD;NVMD;79;181224;7ArVzlFsFsQXNseVXmdOyk
selena gomez & the scene;When The Sun Goes Down;Love You Like A Love Song;81;188453;0laYHRpNTS6i8FXdupHkJ4
selena gomez & the scene;When The Sun Goes Down;Who Says;77;195613;3TcL0dyCMyr0kyTTc4NLgI
rixton;Let The Road;Me And My Broken Heart;79;193733;1oew3nFNY3vMacJAsvry0S
dynoro;In My Mind;In My Mind;79;184560;0E9ZjEAyAwOXZ7wJC0PD33
masked wolf;Astronaut In The Ocean;Astronaut In The Ocean;79;132780;3Ofmpyhv5UAQ70mENzB277
men i trust;Show Me How;Show Me How;79;215110;01TyFEZu6mHbffsVfxgrFn
girls' generation;FOREVER 1 - The 7th Album;FOREVER 1;79;202533;1oen3GpTcA486fTHaT7neg
myke towers;Luces De Neón;Luces De Neón;80;219789;5B60XFKzm8WsJTdVyt4u4I
myke towers;Ande Con Quien Ande;Ande Con Quien Ande;78;208734;6AizmGCrFRQHru1Qf8WKoJ
trevor daniel;Nicotine;Falling;79;159381;0Aqi7ArnBrGblW5T6p2jmD
aurora;All My Demons Greeting Me As A Friend (Deluxe);Runaway;79;248826;1v1oIWf2Xgh54kIWuKsDf6
the wanted;Battleground (Deluxe Edition);Glad You Came;79;197935;5yDL13y5giogKs2fSNf7sj
troye sivan;Strawberries & Cigarettes;Strawberries & Cigarettes;82;201538;3afkJSKX0EAMsJXTZnDXXJ
troye sivan;Angel Baby;Angel Baby;82;220779;2m6Ko3CY1qXNNja8AlugNc
troye sivan;Blue Neighbourhood (Deluxe);YOUTH;72;185194;0nhBKubnVz9yFNNprBniWz
tiago pzk;Nos Comemos (feat. Ozuna);Nos Comemos (feat. Ozuna);82;191086;6ojZtz3sZr6ynvejLOqgCj
tiago pzk;Traductor;Traductor;80;222857;77l75UICfUZK5k0G7WRGqg
tiago pzk;Portales;Traductor;74;222857;5x17YrAwajDUCqB8zT9ElY
nmixx;ENTWURF;DICE;82;165746;1QpwvWMQGdOgA8MXXfgs4H
nmixx;AD MARE;O.O;75;172936;3lrNsPdn98i6rxO142pLT6
nio garcia;AM Remix;AM Remix;79;261334;05bfbizlM5AX6Mf1RRyMho
nio garcia;Te Boté (Remix);Te Boté - Remix;78;417920;3V8UKqhEK5zBkBb6d6ub8i
mitski;Be the Cowboy;Washing Machine Heart;83;128198;3jjsRKEsF42ccXf8kWR3nu
mitski;Bury Me At Makeout Creek;First Love / Late Spring;79;278640;3sslYZcFKtUvIEWN9lADgr
mitski;Be the Cowboy;Nobody;78;193429;2P5yIMu2DNeMXTyOANKS6k
mitski;Bury Me At Makeout Creek;Francis Forever;78;149680;5411TEB6tlzvuF5A4oyldr
mitski;Be the Cowboy;Me and My Husband;77;137141;3pANfZVFdtuVnJsE6xa5Ox
mitski;Puberty 2;I Bet on Losing Dogs;75;170240;2Co0IjcLTSHMtodwD4gzfg
pixies;Surfer Rosa;Where Is My Mind? - Remastered;79;234973;7wCmS9TTVUcIhRalDYFgPy
pixies;Death to the Pixies;Where Is My Mind?;77;229226;0KzAbK6nItSqNh8q70tb0K
megan moroney;Tennessee Orange;Tennessee Orange;78;223119;29zZmiBDLykYYTj7RN6VhV
little mix;Glory Days (Expanded Edition);Power;78;247840;0lUSd7TCG8srh6HpIAEIWL
modjo;Modjo (Remastered);Lady - Hear Me Tonight;78;307153;49X0LAl6faAusYq02PRAY6
neil diamond;Sweet Caroline;Sweet Caroline;78;203573;62AuGbAkt8Ox2IrFFb8GKV
gambi;PETETE;PETETE;78;123846;0z3bi63SNZ5ylyHOzb81Uq
annenmaykantereit;Tom's Diner;Tom's Diner;78;269333;0oA9wBGDY4uyILLg4GymWP
beach bunny;Prom Queen;Prom Queen;82;136562;6MpCaSIOfqBqbMED4kXgNY
beach bunny;Honeymoon;Cloud 9;79;147350;6vFsBXYczYsP0H3lgunZOm
beach bunny;Sports;Sports;73;164165;77G0k1La0c5Dw8bAFANcyp
the backseat lovers;When We Were Friends;Kilby Girl;78;282205;1170VohRSx6GwE6QDCHPPH
なとり;Overdose;Overdose;78;197093;2Dzzhb1oV5ckgOjWZLraIB
le sserafim;FEARLESS;FEARLESS;83;168437;296nXCOv97WJNRWzIBQnoj
le sserafim;FEARLESS;Sour Grapes;77;196540;6wBpO4Xc4YgShnENGSFA1M
le sserafim;ANTIFRAGILE;ANTIFRAGILE;77;184444;4fsQ0K37TOXa3hEQfjEic1
le sserafim;FEARLESS;Blue Flame;75;201894;37YoRLUu1qId0ewavgvnkG
seulgi;28 Reasons - The 1st Mini Album;28 Reasons;78;189413;1dfsPqH09vnzUWEOsN98Ex
sachet-parampara;Maiyya Mainu (From "Jersey");Maiyya Mainu (From "Jersey");78;231575;4PwTeFfKqmR3XIeXXUBDOf
oasis;(What's The Story) Morning Glory? [Remastered];Wonderwall - Remastered;78;258773;5qqabIl2vWzo9ApSC317sa
pamungkas;Flying Solo;To the Bone;78;344571;3pCt2wRdBDa2kCisIdHWgF
estelle;Shine;American Boy;78;284733;22UDw8rSfLbUsaAGTXQ4Z8
shubh;No Love;No Love;83;170387;08Isz2ETWSBhvIl8UpKYsp
shubh;Baller;Baller;82;148188;42TMa2hgBNjte4uV7jNCnQ
shubh;We Rollin;We Rollin;79;199205;6ZYxNjuAU9Vy3VtF6W1dtE
shubh;Elevated;Elevated;76;200658;2AilvPt1AQ8PixlCKqkjfj
shubh;Offshore;Offshore;69;172054;4Mh04VNolWA9g97ychP72l
daft punk;Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit];Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit;82;248413;2Foc5Q5nqNiosCNqttzHof
daft punk;Random Access Memories;Instant Crush (feat. Julian Casablancas);76;337560;2cGxRwrMyEAp8dEbuZaVv6
daft punk;Random Access Memories;Get Lucky (feat. Pharrell Williams & Nile Rodgers);75;369626;69kOkLUCkxIZYexIgSG8rq
